config mean_ratio total_plans
21__false__false__false__x_all_atoms_dt2_pbs_lama N/A 0
21__false__false__false__x_all_atoms_dt2_pbs_lmcut N/A 0
21__false__false__false__x_all_atoms_dt2_pbs_mands N/A 0
22__false__false__false__x_atoms_from_cond_effects_dt2_pbs_blind N/A 0
22__false__false__false__x_atoms_from_cond_effects_dt2_pbs_lama N/A 0
22__false__false__false__x_atoms_from_cond_effects_dt2_pbs_lmcut N/A 0
22__false__false__false__x_atoms_from_cond_effects_dt2_pbs_mands N/A 0
23__false__false__false__x_atoms_outisde_of_cond_effects_dt2_pbs_blind N/A 0
23__false__false__false__x_atoms_outisde_of_cond_effects_dt2_pbs_lama N/A 0
23__false__false__false__x_atoms_outisde_of_cond_effects_dt2_pbs_lmcut N/A 0
23__false__false__false__x_atoms_outisde_of_cond_effects_dt2_pbs_mands N/A 0
2__true__true__true__x_atoms_outisde_of_cond_effects_dt2_pbs_blind N/A 0
2__true__true__true__x_atoms_outisde_of_cond_effects_dt2_pbs_lama .2021 11
2__true__true__true__x_atoms_outisde_of_cond_effects_dt2_pbs_lmcut N/A 0
2__true__true__true__x_atoms_outisde_of_cond_effects_dt2_pbs_mands N/A 0
3__true__true__false__x_all_atoms_dt2_pbs_blind N/A 0
3__true__true__false__x_all_atoms_dt2_pbs_lama .3773 11
3__true__true__false__x_all_atoms_dt2_pbs_lmcut N/A 0
3__true__true__false__x_all_atoms_dt2_pbs_mands N/A 0
4__true__true__false__x_atoms_from_cond_effects_dt2_pbs_blind N/A 0
4__true__true__false__x_atoms_from_cond_effects_dt2_pbs_lama .4724 10
4__true__true__false__x_atoms_from_cond_effects_dt2_pbs_lmcut N/A 0
4__true__true__false__x_atoms_from_cond_effects_dt2_pbs_mands N/A 0
5__true__true__false__x_atoms_outisde_of_cond_effects_dt2_pbs_blind N/A 0
5__true__true__false__x_atoms_outisde_of_cond_effects_dt2_pbs_lama .2333 13
5__true__true__false__x_atoms_outisde_of_cond_effects_dt2_pbs_lmcut N/A 0
5__true__true__false__x_atoms_outisde_of_cond_effects_dt2_pbs_mands N/A 0
6__true__false__true__x_all_atoms_dt2_pbs_blind N/A 0
6__true__false__true__x_all_atoms_dt2_pbs_lama .3783 5
6__true__false__true__x_all_atoms_dt2_pbs_lmcut N/A 0
6__true__false__true__x_all_atoms_dt2_pbs_mands N/A 0
7__true__false__true__x_atoms_from_cond_effects_dt2_pbs_blind N/A 0
7__true__false__true__x_atoms_from_cond_effects_dt2_pbs_lama .3522 9
7__true__false__true__x_atoms_from_cond_effects_dt2_pbs_lmcut N/A 0
7__true__false__true__x_atoms_from_cond_effects_dt2_pbs_mands N/A 0
8__true__false__true__x_atoms_outisde_of_cond_effects_dt2_pbs_blind N/A 0
8__true__false__true__x_atoms_outisde_of_cond_effects_dt2_pbs_lama .1921 11
8__true__false__true__x_atoms_outisde_of_cond_effects_dt2_pbs_lmcut N/A 0
8__true__false__true__x_atoms_outisde_of_cond_effects_dt2_pbs_mands N/A 0
9__true__false__false__x_all_atoms_dt2_pbs_blind N/A 0
9__true__false__false__x_all_atoms_dt2_pbs_lama .3047 11
9__true__false__false__x_all_atoms_dt2_pbs_lmcut N/A 0
9__true__false__false__x_all_atoms_dt2_pbs_mands N/A 0
